tokenId,classification,match,max_channel_delta,num_diff_pixels,onchain_sha256,ipfs_sha256,onchain_ahash,ipfs_ahash,onchain_dhash,ipfs_dhash,onchain_phash,ipfs_phash,ahash_dist,dhash_dist,phash_dist,max_perceptual_dist,perceptual_match
18375,exact,True,0,0,db3f6a93dd020db2dad0f409372c5c4a350f2c986ed337de37e165749a191dcc,db3f6a93dd020db2dad0f409372c5c4a350f2c986ed337de37e165749a191dcc,fff7e7dbe3d3ffff,fff7e7dbe3d3ffff,0010202050202020,0010202050202020,b4c7928d39c98e33,b4c7928d39c98e33,0,0,0,0,True
18376,rounding,False,1,5,a3f2b2a8078074a79ec2eb6ebe6a3e2fc0884af2882c4f75611c8763b903feee,7a3d373e70b83c7fec38e9b433b95c45d3a8da66f6e10279be7bc425647151c6,ffc5939b9bfbfbef,ffc5939b9bfbfbef,0040948484404040,0040948484404040,bc2bd2c49985939b,bc2bd2c49985939b,0,0,0,0,True
18377,exact,True,0,0,4cdba75224e06cd089df586101024261f62fed2893b5153b96b9272d3829e7ef,4cdba75224e06cd089df586101024261f62fed2893b5153b96b9272d3829e7ef,ffffffe7c7e7e1ef,ffffffe7c7e7e1ef,0000042a2a222820,0000042a2a222820,e29c9b63344e9798,e29c9b63344e9798,0,0,0,0,True
18378,exact,True,0,0,e18c2c106f561577056ffc8a19a8cd0bccb553c83fde6dc2a167c260c0699c0f,e18c2c106f561577056ffc8a19a8cd0bccb553c83fde6dc2a167c260c0699c0f,ffffffe7f3e7e7ef,ffffffe7f3e7e7ef,0000041034202024,0000041034202024,e38c9b6433c69b38,e38c9b6433c69b38,0,0,0,0,True
18379,exact,True,0,0,3147a3f262b674a10c70dfe106d82f20cf5fb17fa8f3f90152fa1e0b4cdfa66e,3147a3f262b674a10c70dfe106d82f20cf5fb17fa8f3f90152fa1e0b4cdfa66e,f7e7c3dbdbc3c3ef,f7e7c3dbdbc3c3ef,0020504444404050,0020504444404050,b4c792c69b6c983c,b4c792c69b6c983c,0,0,0,0,True
18380,rounding,False,1,5,e2ec0a9695bb7dd32830b6fffd613bed1017d2d22e06e23b2569a29c91b374f4,bf7b9775f2b34e10037d8dc27b292bd9f79f4af80f801b41f98a987aca784057,ffffffc7c7c7c3cf,ffffffc7c7c7c3cf,00040a2242224040,00040a2242224040,b0cf9b663867c30c,b0cf9b663867c30c,0,0,0,0,True
18381,exact,True,0,0,f926404cb9f464eaa2fd8b6bb0bdbbcaf9cacb8e6d3228c8248be11c2a252f8d,f926404cb9f464eaa2fd8b6bb0bdbbcaf9cacb8e6d3228c8248be11c2a252f8d,fff7e7c3c3c3e7ef,fff7e7c3c3c3e7ef,0010202054202020,0010202054202020,b0ce934c196d9976,b0ce934c196d9976,0,0,0,0,True
18382,exact,True,0,0,595c3b58c5e9c2036fd198967c7df631260e7939e68ef4f4211bdcfa6c150b75,595c3b58c5e9c2036fd198967c7df631260e7939e68ef4f4211bdcfa6c150b75,fff7e7c3c3c3e7ef,fff7e7c3c3c3e7ef,0008282054202020,0008282054202020,e4c6924d39d99933,e4c6924d39d99933,0,0,0,0,True
18383,exact,True,0,0,79a0a05791f19a7df2a5a963a46b61820d603b33c78a5e4d5e3c44561b61519d,79a0a05791f19a7df2a5a963a46b61820d603b33c78a5e4d5e3c44561b61519d,ffffc7db839b9fff,ffffc7db839b9fff,0000404090808020,0000404090808020,bcc1c3cce43cf033,bcc1c3cce43cf033,0,0,0,0,True
18384,exact,True,0,0,a08b10f69f83e2376814d7cc99d9321bce5c369dd5c231a95cd3cc9db1e9610d,a08b10f69f83e2376814d7cc99d9321bce5c369dd5c231a95cd3cc9db1e9610d,ffffc3fffffbfbef,ffffc3fffffbfbef,0000400404444450,0000400404444450,ac71d2ce936c3934,ac71d2ce936c3934,0,0,0,0,True
